checked,cataloged,id,label,alternate_titles,creators,place_of_publication,publisher_name,date_of_publication,format,extent,dimensions,language,notes,narrative,keyword_tags,subject_terms,genre_terms,rights_statement,library_call_number,links,identifiers
false,,CSL00001,Chicano Classification System,,,,,1972-,loose paper in ring binder,~550,8.5x11,,"access, metadata",,,,,,,,
false,,CSL00002,Prospectus for a Chicano Periodical Index Project,,,,,1978,loose pages,13,8.5x11,,assess toos,,,,,,,,
false,,CSL00003,Chicano Studies Library Serials Collection,,,,,1992?,loose pages,3,8.5x11,,serials,,,,,,,,
false,,CSL00004,Chicanas in the 80's: Unsettled Issues,,,,,,"booklet, including front and back covers",31,8.5x5.5,,chicanas,,,,,,,,
false,,CSL00005,Plan for the Development of the Chicano Database,,,,,,loose page,1,8.5x11,,chicano databse,,,,,,,,
false,,CSL00006,Nightly Backup Procedure,,,,,,loose page,1,8.5x11,,"chicano databse, technologies",,,,,,,,
false,,CSL00007,Job Vacancy Listing: Library Coordinator (1975),,,,,1975,loose paper,3,8.5x11,,"staffing, history",,,,,,,,
false,,CSL00008,Goals of the Ethnic Studies Libraries (1993),,,,,1993,loose page,1,8.5x11,,history,,,,,,,,
false,,CSL00009,CSL Donor Reception Invitation (1993),,,,,1993,loose pages,2,8.5x11,,history,,,,,,,,
false,,CSL00010,Undocumented Scars Publicity Mailer (1993),,,,,1993,double sided ,1,7x10,,history,,,,,,,,
false,,CSL00011,Staff Meeting Minutes 3/3/89,,,,,1989,loose pages,4,8.5x11,,staffing,,,,,,,,
false,,CSL00012,Letter from Wilma Salvatori Torri (1974) ,,,,,1974,loose paper,2,8.5x11,,acknowledgements,,,,,,,,
false,,CSL00013,"CU News Volume 48, Number 22 6/10/93",,,,,1993,"loose page, double sided ",1,8.5x11,,,,,,,,,,
false,,CSL00014,Letter from Lea Burroughs (1995),,,,,1995,loose page,1,8.5x11,,,,,,,,,,
false,,CSL00015,Mexican Amerian Biographies Acknowledgement ,,,,,,loose papers,3,8.5x11,,acknowledgements,,,,,,,,
false,,CSL00016,"Letter from Sherry Levy-Reiner, Ph.D. (1991)",,,,,1991,loose page,1,8.5x11,,,,,,,,,,
false,,CSL00017,Letters to and from Alexandr Vaschenko(1988),,,,,1988,letters & envelope,5,8.5x11,,,,,,,,,,
false,,CSL00018,Chicano Feminist Thought Acknowledgements ,,,,,,loose pages,3,8.5x11,,acknowledgements,,,,,,,,
false,,CSL00019,CSL Operation/Projects & Staff Assignments (1975),,,,,1975,loose page,1,8.5x11,,"staff, history",,,,,,,,
false,,CSL00020,Ernesto Galarza @ UCB Flyer,,,,,,loose page,1,8.5x11,,,,,,,,,,
false,,CSL00021,Imagining Aztlan Galeria de la Raza postcard (1998),,,,,1998,"postcard, double sided",1,4x6,,,,,,,,,,
false,,CSL00022,Aspectos de la Literatura Chicana,,,,,,stapled booklet,9,8.5x11,,"literature, exhibits",,,,,,,,
false,,CSL00023,Chicano Periodical Index Worksheet,,,,,,loose page,1,8.5x11,,,,,,,,,,
false,,CSL00024,"Stephens Hall Space Meeting- Nov. 21, 1994",,,,,1994,loose papers,2,8.5x11,,history,,,,,,,,
false,,CSL00025,Ground Floor - Stephens Hall- Floor Plan Jan. 1,,,,,,loose page,1,8.5x11,,history,,,,,,,,
false,,CSL00026,Letter to Nevil Leimanis 1996,,,,,1996,loose page,1,8.5x11,,,,,,,,,,
false,,CSL00027,CDB Review in ANSS Currents (2004),,,,,2004,loose papers,5,8.5x11,,chicano database,,,,,,,,
false,,CSL00028,OCLC Publicity Flier,,,,,,loose page,2,8.5x11,,publications. chicano database,,,,,,,,
false,,CSL00029,Letter from Library of Congress (1990),,,,,1990,loose page,1,8.5x11,,"thesaurus, access tools",,,,,,,,
false,,CSL00030,CSL Newsletter June 1985,,,,,1985,loose pages,4,8.5x11,,history,,,,,,,,
false,,CSL00031,CSL Newsletter March 1987,,,,,1987,loose papers ,4,8.5x11,,history,,,,,,,,
false,,CSL00032,CSL Newsletter February 1986,,,,,1986,loose papers ,5,8.5x11,,history,,,,,,,,
false,,CSL00033,CSL Newsletter May 1989,,,,,1989,loose papers ,4,8.5x11,,history,,,,,,,,
false,,CSL00034,CSL Newsletter February 1991,,,,,1991,loose papers ,5,8.5x11,,history,,,,,,,,
false,,CSL00035,Chicano Database Indexing Manual 2003,,,,,2003,loose papers ,9,8.5x11,,chicano database,,,,,,,,
false,,CSL00036,Chicano Database Worksheet - Books,,,,,,loose page,1,8.5x11,,chicano database,,,,,,,,
false,,CSL00037,EBSCO Promo Flier ,,,,,,loose page,1,8.5x11,,chicano database,,,,,,,,
false,,CSL00038,Chicano Thesaurus Revision Project Sponsored by LAUC,,,,,,loose pages,3,8.5x11,,chicano database,,,,,,,,
false,,CSL00039,LAUC Research Project to Revise the Chicano Thesaurus,,,,,,loose pages,6,8.5x11,,chicano database,,,,,,,,
false,,CSL00040,Chicano Database - July 2000,,,,,2000,CD,N/A,5x5,,chicano database,,,,,,,,
false,,CSL00041,Chicano Studies Library Publications ,,,,,,folded paper,4,17X11,,Publications ,,,,,,,,
false,,CSL00042,Chicano Anthology Index Flier,,,,,,loose page,1,8.5x11,,Publications,,,,,,,,
false,,CSL00043,Chicano Studies UC Berkeley 1982-83,,,,,1982-1983,booklet,15,8.5x5.5,,,,,,,,,,
false,,CSL00044,Chicano Studies Bulletin - Spring '71,,,,,1971,booklet,9,8.5x5.5,,history,,,,,,,,
false,,CSL00045,Faculty Assessment of Chicano Library Collection,,,,,,printed email,3,8.5x11,,history,,,,,,,,
false,,CSL00046,The Strike Explained,,,,,,pamphlet,16,,,TWLF,,,,,,,,
false,,CSL00047,No Progress Report - Updates on University's progress with TWLF,,,,,,journalism report,2,8.5x11,,TWLF,,,,,,,,
false,,CSL00048,TWLF protest photographs,,,,,,photographs,2,,,TWLF,,,,,,,,
false,,CSL00049,TWLF protest photographs,,,,,,photographs,3,,,TWLF,,,,,,,,
false,,CSL00050,Chicano Database on CD-ROM,,,,,,booklet,6,8.5x11,,chicano database,,,,,,,,
false,,CSL00051,Letter from Virginia Pratt to Francisco Garcia-Ayvens at CSL,,,,,,letter,1,8.5x11,,,,,,,,,,
false,,CSL00052,Strike Demands,,,,,,loose paper,1,8.5x11,,TWLF,,,,,,,,
false,,CSL00053,Letter from Chicano Center mentioning CSL,,,,,,single paper,1,8.5x11,,history,,,,,,,,
false,,CSL00054,Chicano Thesaurus for indexing materials,,,,,,booklet,76,8.5x11,,Chicano thesaurus,,,,,,,,
false,,CSL00055,Chicano Database Press release with Logo,,,,,,"loose paper, double sided",2,8.5x11,,chicano database,,,,,,,,
false,,CSL00056,Proposal for the Establishment of a National Clearinghouse for Chicano Serials ,,,,,,loose papers  ,12,8.5x11,,serials,,,,,,,,
false,,CSL00057,Chicano Information Management Consortium of CA,,,,,,loose papers,4,8.5x11,,networks,,,,,,,,
false,,CSL00058,Letter from Thomas Holt to Richard Chabran (VORT),,,,,,loose papers,2,8.5x11,,chicano database,,,,,,,,
false,,CSL00059,Chicano Librarian Workshop by Cesar Caballero,,,,,,loose page,1,8.5x11,,"workshops, Chicano periodical Index",,,,,,,,
false,,CSL00060,Letter showing interest in purchasing subscription to Chicano Periodical Index,,,,,,loose page,1,8.5x11,,Chicano Periocal Index,,,,,,,,
false,,CSL00061,Letter from Excelsior: interest in writing article about Chicano Index,,,,,,loose page,1,8.5x11,,Chicano Periodical Index,,,,,,,,
false,,CSL00062,Grant Request for Chicano Periodical Project Index,,,,,,loose onion skin paper,1,8.5x11,,ChicanoPeriodical Index,,,,,,,,
false,,CSL00063,CPI Letter of Intent (1981),,,,,1981,loose paper,1,8.5x11,,Chicano Periodical Index,,,,,,,,
false,,CSL00064,CPI Project Proposal to National Endowment for the Humanities Research Materials Programs -Tools ,,,,,,booklet,60,8.5x11,,Proposals,,,,,,,,
false,,CSL00065,Chicano Periodical Index Processing Manual,,,,,,loose papers,11,8.5x11,,Chicano Perocal Index,,,,,,,,
false,,CSL00066,CPI Launch Press Release (1978),,,,,1978,loose papers,4,8.5x11,,Chicano Periocal Index,,,,,,,,
false,,CSL00067,CPI Mailer Advertisement (1979-1981),,,,,1979-1981,folded paper ,4,8.5x11,,Chicano Periodical Index,,,,,,,,
false,,CSL00068,CPI Project general meeting minutes,,,,,,loose papers,4,8.5x11,,Chicano Periodical Index,,,,,,,,
false,,CSL00069,Chicano Information management Consortium of CA,,,,,,loose papers,4,8.5x11,,networks,,,,,,,,
false,,CSL00070,Entry Card from old Serials catalog drawer,,,,,,entry card,1,3x5 ,,serials,,,,,,,,
false,,CSL00071,Sample Serials Check In Card,,,,,,check in card,2,8x5,,serials,,,,,,,,
false,,CSL00072,"Voz de La A.B.C. Volume 1, Number 4",,,,,,loose pages,4,8.5x11,,networks,,,,,,,,
false,,CSL00073,6 CSL Collection Posters,,,,,,loose pages,6,9x11,,,,,,,,,,
false,,CSL00074,Bibliopolitica cover and title page,,,,,,front cover and title page,2,9x6,,publications,,,,,,,,
false,,CSL00075,BiblioPolitica Article: Los Apuntes de Padilla: A chicano Prototype for Bibliographic Research,,,,,,pages 45-54,10,9x6,,,,,,,,,,
false,,CSL00076,Bibliopolitica Article: Notes on the History and Future of Major Academic Chicano Libraries,,,,,,page 89-106,18,9x6,,,,,,,,,,
false,,CSL00077,Bibliopolitica: The Usefulness of the Chicano Thesaurus for Indexing Chicano Materials,,,,,,page 169-178,10,9x6,,thesuarus,,,,,,,,
false,,CSL00078,A bibliography of criticism of contemporary Chicano literature - front cover and back cover,,,,,,front cover and back cover,2,9x6,,publications,,,,,,,,
false,,CSL00079,A bibliography of criticism of contemporary Chicano literature -  title page,,,,,,title page,1,,,publications,,,,,,,,
false,,CSL00080,"""Chicano library thriving"" Oakland Tribune article",,,,,,newpaper clipping,1,7x7.5x13.5,,acknoledgements,,,,,,,,
false,,CSL00081,Occupied America A History of Chicanos ,,,,,,title page and preface,2,8.5x11,,,,,,,,,,
false,,CSL00082,MALDEF letter from Hariette Surovell to Richard Chabran,,,,,,letter,1,8.5x11,,,,,,,,,,
false,,CSL00083,Letter from alameda county librarian (Barbara Boyd) to  Francisco Garcia,,,,,,letter,1,8.5x11,,,,,,,,,,
false,,CSL00084,CD-ROM in the Library Today and Tomorrow,,,,,,loose papers,6,8.5x11,,,,,,,,,,
false,,CSL00085,Letter from James Danky to Francisco Garcia-Gyvens,,,,,,letter,1,8.5x11,,,,,,,,,,
false,,CSL00086,Guide to the Chicano Database on CD-ROM,,,,,,front and back guide,1,8.5x11,,,,,,,,,,
false,,CSL00087,Letter from Cesar Caballero to Richard Chabran ,,,,,,front and back,1,8.5x11,,,,,,,,,,
false,,CSL00088,Memo to Mesa Directiva from Library and Research Committee,,,,,,memo,1,8.5x11,,,,,,,,,,
false,,CSL00089,"Obreros: The Mexican Workers of el Paso, 1900-1920",,,,,,loose papers,2,8.5x11,,,,,,,,,,
false,,CSL00090,"Anglo and Mexicans in the making of Texas, 1836-1986",,,,,,loose papers,3,8.5x11,,,,,,,,,,
false,,CSL00091,"Letter of CSL Assessment from Wilma Salvatori Torri, Italian Researcher",,,,,,loose papers,2,8.5x11,,,,,,,,,,